"COREAD","ESCA","HEALTHY","LIHC","NSCLC","PACA","STAD","split_name","train_early_percentage","test_early_percentage","MFR_train_auc","MFR_test_auc","FSI_train_auc","FSI_test_auc","CAFF_train_auc","CAFF_test_auc","FEM_train_auc","FEM_test_auc","Cancer_prob_train_auc","Cancer_prob_test_auc"
5,4,3,1,3,6,5,"split_131",0.389830508474576,0.285714285714286,0.932,0.91,0.91,0.896,0.838,0.865,0.965,0.893,0.975,0.936
6,4,3,1,3,6,5,"split_132",0.384433962264151,0.306179775280899,0.923,0.915,0.91,0.905,0.829,0.869,0.958,0.902,0.969,0.945
2,3,2,6,3,6,5,"split_133",0.434210526315789,0.165322580645161,0.926,0.924,0.91,0.913,0.813,0.877,0.96,0.926,0.975,0.96
5,3,2,6,3,6,5,"split_134",0.44106463878327,0.15748031496063,0.932,0.927,0.914,0.916,0.815,0.87,0.962,0.92,0.977,0.96
6,3,2,6,3,6,5,"split_135",0.441422594142259,0.201986754966887,0.928,0.926,0.917,0.923,0.811,0.868,0.959,0.92,0.977,0.96
2,4,2,6,3,6,5,"split_136",0.467326732673267,0.130909090909091,0.921,0.941,0.903,0.922,0.799,0.895,0.961,0.928,0.974,0.967
5,4,2,6,3,6,5,"split_137",0.474949899799599,0.124555160142349,0.923,0.947,0.904,0.927,0.802,0.888,0.962,0.919,0.976,0.965
6,4,2,6,3,6,5,"split_138",0.478935698447894,0.170212765957447,0.921,0.944,0.891,0.928,0.796,0.884,0.96,0.919,0.973,0.964
2,3,3,6,3,6,5,"split_139",0.434210526315789,0.165322580645161,0.923,0.921,0.918,0.914,0.836,0.878,0.964,0.878,0.975,0.932
5,3,3,6,3,6,5,"split_140",0.44106463878327,0.15748031496063,0.928,0.927,0.913,0.914,0.84,0.868,0.965,0.88,0.977,0.934
6,3,3,6,3,6,5,"split_141",0.441422594142259,0.201986754966887,0.931,0.928,0.911,0.914,0.833,0.873,0.961,0.885,0.975,0.942
2,4,3,6,3,6,5,"split_142",0.467326732673267,0.130909090909091,0.927,0.939,0.909,0.919,0.824,0.895,0.966,0.88,0.977,0.938
5,4,3,6,3,6,5,"split_143",0.474949899799599,0.124555160142349,0.924,0.941,0.91,0.916,0.828,0.886,0.966,0.882,0.977,0.934
6,4,3,6,3,6,5,"split_144",0.478935698447894,0.170212765957447,0.917,0.936,0.9,0.918,0.819,0.888,0.961,0.879,0.971,0.941
